item_number,date,consumption
50040800100,2022-01-01,170
50040800100,2022-01-03,172
50040800100,2022-01-05,188
50040800100,2022-01-07,228
50040800100,2022-01-09,171
50040800100,2022-01-11,152
50040800100,2022-01-13,172
50040800100,2022-01-15,194
50040800100,2022-01-17,200
50040800100,2022-01-19,178
50040800100,2022-01-21,221
50040800100,2022-01-23,233
50040800100,2022-01-25,252
50040800100,2022-01-27,227
50040800100,2022-01-29,227
50040800100,2022-02-01,108
50040800100,2022-02-03,115
50040800100,2022-02-05,170
50040800100,2022-02-07,202
50040800100,2022-02-09,208
50040800100,2022-02-11,211
50040800100,2022-02-13,162
50040800100,2022-02-15,207
50040800100,2022-02-17,177
50040800100,2022-02-19,193
50040800100,2022-02-21,107
50040800100,2022-02-23,76
50040800100,2022-02-25,112
50040800100,2022-02-27,129
50040800100,2022-03-01,149
50040800100,2022-03-03,109
50040800100,2022-03-05,118
50040800100,2022-03-07,102
50040800100,2022-03-09,132
50040800100,2022-03-11,122
50040800100,2022-03-13,129
50040800100,2022-03-15,165
50040800100,2022-03-17,131
50040800100,2022-03-19,121
50040800100,2022-03-21,125
50040800100,2022-03-23,90
50040800100,2022-03-25,84
50040800100,2022-03-26,112
50040800100,2022-03-28,70
50040800100,2022-03-30,79
50040800100,2022-04-01,158
50040800100,2022-04-03,182
50040800100,2022-04-06,113
50040800100,2022-04-08,112
50040800100,2022-04-10,52
50040800100,2022-04-12,90
50040800100,2022-04-14,48
50040800100,2022-04-19,60
50040800100,2022-04-22,31
50040800100,2022-04-26,5
50040800100,2022-04-28,81
50040800100,2022-05-02,122
50040800100,2022-05-05,137
50040800100,2022-05-07,130
50040800100,2022-05-09,125
50040800100,2022-05-11,104
50040800100,2022-05-13,158
50040800100,2022-05-16,73
50040800100,2022-05-18,62
50040800100,2022-05-20,147
50040800100,2022-05-23,87
50040800100,2022-05-25,123
50040800100,2022-05-27,40
50040800100,2022-05-30,28
50040800100,2022-06-01,134
50040800100,2022-06-04,133
50040800100,2022-06-06,143
50040800100,2022-06-08,122
50040800100,2022-06-10,122
50040800100,2022-06-12,106
50040800100,2022-06-14,128
50040800100,2022-06-16,90
50040800100,2022-06-18,119
50040800100,2022-06-20,142
50040800100,2022-06-22,84
50040800100,2022-06-24,155
50040800100,2022-06-27,42
50040800100,2022-06-29,66
50040800100,2022-07-01,170
50040800100,2022-07-03,31
50040800100,2022-07-05,90
50040800100,2022-07-07,63
50040800100,2022-07-09,49
50040800100,2022-07-11,85
50040800100,2022-07-13,98
50040800100,2022-07-15,143
50040800100,2022-07-18,96
50040800100,2022-07-20,59
50040800100,2022-07-22,144
50040800100,2022-07-25,59
50040800100,2022-07-27,75
50040800100,2022-07-29,36
50040800100,2022-08-01,76
50040800100,2022-08-03,70
50040800100,2022-08-05,99
50040800100,2022-08-08,75
50040800100,2022-08-10,91
50040800100,2022-08-13,33
50040800100,2022-08-15,62
50040800100,2022-08-17,36
50040800100,2022-08-19,129
50040800100,2022-08-22,104
50040800100,2022-08-24,96
50040800100,2022-08-26,155
50040800100,2022-08-29,90
50040800100,2022-08-30,80
50040800100,2022-09-01,34
50040800100,2022-09-02,134
50040800100,2022-09-05,85
50040800100,2022-09-07,77
50040800100,2022-09-09,93
50040800100,2022-09-11,99
50040800100,2022-09-13,60
50040800100,2022-09-15,65
50040800100,2022-09-17,61
50040800100,2022-09-19,55
50040800100,2022-09-21,62
50040800100,2022-09-23,146
50040800100,2022-09-26,67
50040800100,2022-09-28,19
50040800100,2022-09-29,23
50040800100,2022-10-01,84
50040800100,2022-10-06,119
50040800100,2022-10-08,140
50040800100,2022-10-10,67
50040800100,2022-10-12,88
50040800100,2022-10-14,173
50040800100,2022-10-17,64
50040800100,2022-10-19,110
50040800100,2022-10-21,112
50040800100,2022-10-24,93
50040800100,2022-10-26,70
50040800100,2022-10-28,55
50040800100,2022-10-30,55
50040800100,2022-11-01,125
50040800100,2022-11-03,109
50040800100,2022-11-05,89
50040800100,2022-11-07,77
50040800100,2022-11-09,77
50040800100,2022-11-11,139
50040800100,2022-11-13,53
50040800100,2022-11-15,92
50040800100,2022-11-17,70
50040800100,2022-11-19,47
50040800100,2022-11-21,76
50040800100,2022-11-23,96
50040800100,2022-11-25,67
50040800100,2022-11-27,62
50040800100,2022-12-01,124
50040800100,2022-12-05,168
50040800100,2022-12-07,56
50040800100,2022-12-09,73
50040800100,2022-12-12,100
50040800100,2022-12-14,90
50040800100,2022-12-16,81
50040800100,2022-12-19,74
50040800100,2022-12-21,60
50040800100,2022-12-23,93
50040800100,2022-12-26,22
50040800100,2022-12-28,60
50040800100,2023-01-02,102
50040800100,2023-01-04,37
50040800100,2023-01-05,113
50040800100,2023-01-09,146
50040800100,2023-01-11,95
50040800100,2023-01-13,123
50040800100,2023-01-16,41
50040800100,2023-01-18,5
50040800100,2023-01-28,43
50040800100,2023-01-30,85
50040800100,2023-02-01,80
50040800100,2023-02-03,140
50040800100,2023-02-06,85
50040800100,2023-02-08,125
50040800100,2023-02-10,168
50040800100,2023-02-13,49
50040800100,2023-02-15,55
50040800100,2023-02-17,158
50040800100,2023-02-20,76
50040800100,2023-02-22,62
50040800100,2023-02-24,57
50040800100,2023-02-27,37
50040800100,2023-03-01,82
50040800100,2023-03-03,132
50040800100,2023-03-06,35
50040800100,2023-03-08,73
50040800100,2023-03-10,102
50040800100,2023-03-13,88
50040800100,2023-03-15,88
50040800100,2023-03-17,160
50040800100,2023-03-20,85
50040800100,2023-03-21,41
50040800100,2023-03-23,73
50040800100,2023-03-25,55
50040800100,2023-03-28,53
50040800100,2023-03-30,48
50040800100,2023-04-01,144
50040800100,2023-04-06,85
50040800100,2023-04-08,166
50040800100,2023-04-12,97
50040800100,2023-04-14,131
50040800100,2023-04-17,80
50040800100,2023-04-19,81
50040800100,2023-04-21,66
50040800100,2023-04-23,22
50040800100,2023-04-25,92
50040800100,2023-04-27,33
50040800100,2023-04-29,26
50040800100,2023-05-02,100
50040800100,2023-05-04,121
50040800100,2023-05-06,105
50040800100,2023-05-08,60
50040800100,2023-05-10,73
50040800100,2023-05-12,111
50040800100,2023-05-15,66
50040800100,2023-05-17,85
50040800100,2023-05-19,325
50040800100,2023-05-24,83
50040800100,2023-05-26,144
50040800100,2023-05-29,40
50040800100,2023-05-30,67
50040800100,2023-06-01,58
50040800100,2023-06-03,130
50040800100,2023-06-07,72
50040800100,2023-06-09,185
50040800100,2023-06-12,117
50040800100,2023-06-14,55
50040800100,2023-06-16,119
50040800100,2023-06-19,94
50040800100,2023-06-21,92
50040800100,2023-06-27,62
50040800100,2023-06-29,72
50040800100,2023-07-01,181
50040800100,2023-07-05,88
50040800100,2023-07-07,125
50040800100,2023-07-10,71
50040800100,2023-07-12,95
50040800100,2023-07-14,48
50040800100,2023-07-17,36
50040800100,2023-07-19,57
50040800100,2023-07-21,126
50040800100,2023-07-24,66
50040800100,2023-07-26,67
50040800100,2023-07-28,79
50040800100,2023-07-30,52
50040800100,2023-08-03,78
50040800100,2023-08-07,191
50040800100,2023-08-09,110
50040800100,2023-08-11,114
50040800100,2023-08-14,33
50040800100,2023-08-16,56
50040800100,2023-08-18,156
50040800100,2023-08-21,38
50040800100,2023-08-23,109
50040800100,2023-08-25,106
50040800100,2023-08-28,8
50040800100,2023-08-30,56
50040800100,2023-09-01,64
50040800100,2023-09-03,20
50040800100,2023-09-05,22
50040800100,2023-09-07,48
50040800100,2023-09-11,88
50040800100,2023-09-13,44
50040800100,2023-09-15,57
50040800100,2023-09-17,78
50040800100,2023-09-19,79
50040800100,2023-09-21,144
50040800100,2023-09-23,150
50040800100,2023-09-27,120
50040800100,2023-09-30,40
50040800100,2023-10-02,120
50040800100,2023-10-06,105
50040800100,2023-10-08,131
50040800100,2023-10-09,124
50040800100,2023-10-12,104
50040800100,2023-10-16,240
50040800100,2023-10-17,18
50040800100,2023-10-18,56
50040800100,2023-10-20,4
50040800100,2023-10-22,48
50040800100,2023-10-24,55
50040800100,2023-10-26,51
50040800100,2023-10-30,72
50040800100,2023-10-31,50
50060820106,2022-01-01,158
50060820106,2022-01-03,89
50060820106,2022-01-05,137
50060820106,2022-01-07,195
50060820106,2022-01-09,166
50060820106,2022-01-11,146
50060820106,2022-01-13,146
50060820106,2022-01-15,160
50060820106,2022-01-17,148
50060820106,2022-01-19,142
50060820106,2022-01-21,176
50060820106,2022-01-23,196
50060820106,2022-01-25,214
50060820106,2022-01-27,212
50060820106,2022-01-29,179
50060820106,2022-02-01,130
50060820106,2022-02-03,121
50060820106,2022-02-05,154
50060820106,2022-02-07,180
50060820106,2022-02-09,238
50060820106,2022-02-11,158
50060820106,2022-02-13,186
50060820106,2022-02-15,168
50060820106,2022-02-17,168
50060820106,2022-02-19,165
50060820106,2022-02-21,139
50060820106,2022-02-23,176
50060820106,2022-02-25,120
50060820106,2022-02-27,120
50060820106,2022-03-01,121
50060820106,2022-03-03,112
50060820106,2022-03-05,134
50060820106,2022-03-07,131
50060820106,2022-03-09,131
50060820106,2022-03-11,141
50060820106,2022-03-13,118
50060820106,2022-03-15,159
50060820106,2022-03-17,168
50060820106,2022-03-19,193
50060820106,2022-03-21,151
50060820106,2022-03-23,112
50060820106,2022-03-25,60
50060820106,2022-03-26,129
50060820106,2022-03-28,103
50060820106,2022-03-30,78
50060820106,2022-04-01,100
50060820106,2022-04-03,112
50060820106,2022-04-06,133
50060820106,2022-04-08,84
50060820106,2022-04-10,86
50060820106,2022-04-12,100
50060820106,2022-04-14,139
50060820106,2022-04-19,115
50060820106,2022-04-22,101
50060820106,2022-04-26,95
50060820106,2022-04-28,176
50060820106,2022-05-02,138
50060820106,2022-05-05,140
50060820106,2022-05-07,140
50060820106,2022-05-09,163
50060820106,2022-05-11,164
50060820106,2022-05-13,236
50060820106,2022-05-16,133
50060820106,2022-05-18,158
50060820106,2022-05-20,134
50060820106,2022-05-23,115
50060820106,2022-05-25,118
50060820106,2022-05-27,84
50060820106,2022-05-30,49
50060820106,2022-06-01,180
50060820106,2022-06-04,137
50060820106,2022-06-06,161
50060820106,2022-06-08,142
50060820106,2022-06-10,163
50060820106,2022-06-12,201
50060820106,2022-06-14,147
50060820106,2022-06-16,115
50060820106,2022-06-18,93
50060820106,2022-06-20,127
50060820106,2022-06-22,70
50060820106,2022-06-24,161
50060820106,2022-06-27,74
50060820106,2022-06-29,117
50060820106,2022-07-01,222
50060820106,2022-07-03,69
50060820106,2022-07-05,110
50060820106,2022-07-07,147
50060820106,2022-07-09,145
50060820106,2022-07-11,151
50060820106,2022-07-13,182
50060820106,2022-07-15,246
50060820106,2022-07-16,8
50060820106,2022-07-18,129
50060820106,2022-07-20,116
50060820106,2022-07-22,164
50060820106,2022-07-25,102
50060820106,2022-07-27,133
50060820106,2022-07-29,119
50060820106,2022-08-01,156
50060820106,2022-08-03,172
50060820106,2022-08-05,223
50060820106,2022-08-08,138
50060820106,2022-08-10,134
50060820106,2022-08-13,125
50060820106,2022-08-15,127
50060820106,2022-08-17,119
50060820106,2022-08-19,255
50060820106,2022-08-22,129
50060820106,2022-08-24,195
50060820106,2022-08-26,270
50060820106,2022-08-29,116
50060820106,2022-08-30,87
50060820106,2022-09-01,50
50060820106,2022-09-02,220
50060820106,2022-09-05,146
50060820106,2022-09-07,123
50060820106,2022-09-09,122
50060820106,2022-09-11,114
50060820106,2022-09-13,136
50060820106,2022-09-15,156
50060820106,2022-09-17,120
50060820106,2022-09-19,139
50060820106,2022-09-21,140
50060820106,2022-09-23,264
50060820106,2022-09-26,137
50060820106,2022-09-28,61
50060820106,2022-09-29,129
50060820106,2022-10-01,201
50060820106,2022-10-06,148
50060820106,2022-10-08,128
50060820106,2022-10-10,110
50060820106,2022-10-12,122
50060820106,2022-10-14,242
50060820106,2022-10-17,125
50060820106,2022-10-19,174
50060820106,2022-10-21,251
50060820106,2022-10-24,173
50060820106,2022-10-26,112
50060820106,2022-10-28,113
50060820106,2022-10-30,62
50060820106,2022-11-01,165
50060820106,2022-11-03,143
50060820106,2022-11-05,114
50060820106,2022-11-07,150
50060820106,2022-11-09,142
50060820106,2022-11-11,168
50060820106,2022-11-13,107
50060820106,2022-11-15,109
50060820106,2022-11-17,95
50060820106,2022-11-19,93
50060820106,2022-11-21,133
50060820106,2022-11-23,146
50060820106,2022-11-25,120
50060820106,2022-11-27,76
50060820106,2022-11-29,49
50060820106,2022-12-01,150
50060820106,2022-12-05,258
50060820106,2022-12-07,141
50060820106,2022-12-09,110
50060820106,2022-12-12,147
50060820106,2022-12-14,129
50060820106,2022-12-16,124
50060820106,2022-12-19,128
50060820106,2022-12-21,98
50060820106,2022-12-23,203
50060820106,2022-12-26,52
50060820106,2022-12-28,128
50060820106,2023-01-02,165
50060820106,2023-01-04,88
50060820106,2023-01-05,155
50060820106,2023-01-09,316
50060820106,2023-01-11,151
50060820106,2023-01-13,194
50060820106,2023-01-16,71
50060820106,2023-01-18,145
50060820106,2023-01-28,137
50060820106,2023-01-30,122
50060820106,2023-02-01,187
50060820106,2023-02-03,262
50060820106,2023-02-06,143
50060820106,2023-02-08,153
50060820106,2023-02-10,233
50060820106,2023-02-13,121
50060820106,2023-02-15,130
50060820106,2023-02-17,202
50060820106,2023-02-20,126
50060820106,2023-02-22,122
50060820106,2023-02-24,169
50060820106,2023-02-27,71
50060820106,2023-03-01,95
50060820106,2023-03-03,251
50060820106,2023-03-06,109
50060820106,2023-03-08,157
50060820106,2023-03-10,223
50060820106,2023-03-13,146
50060820106,2023-03-15,138
50060820106,2023-03-17,209
50060820106,2023-03-20,95
50060820106,2023-03-21,71
50060820106,2023-03-23,129
50060820106,2023-03-25,79
50060820106,2023-03-28,68
50060820106,2023-03-30,59
50060820106,2023-04-01,263
50060820106,2023-04-06,151
50060820106,2023-04-08,251
50060820106,2023-04-12,140
50060820106,2023-04-14,171
50060820106,2023-04-17,78
50060820106,2023-04-19,124
50060820106,2023-04-21,141
50060820106,2023-04-23,130
50060820106,2023-04-25,142
50060820106,2023-04-27,80
50060820106,2023-04-29,58
50060820106,2023-05-02,120
50060820106,2023-05-04,162
50060820106,2023-05-06,155
50060820106,2023-05-08,125
50060820106,2023-05-10,128
50060820106,2023-05-12,198
50060820106,2023-05-15,108
50060820106,2023-05-17,111
50060820106,2023-05-19,331
50060820106,2023-05-24,125
50060820106,2023-05-26,229
50060820106,2023-05-29,25
50060820106,2023-05-30,99
50060820106,2023-06-01,158
50060820106,2023-06-03,265
50060820106,2023-06-07,121
50060820106,2023-06-09,175
50060820106,2023-06-12,105
50060820106,2023-06-14,118
50060820106,2023-06-16,195
50060820106,2023-06-19,131
50060820106,2023-06-21,188
50060820106,2023-06-27,112
50060820106,2023-06-29,93
50060820106,2023-07-01,234
50060820106,2023-07-05,136
50060820106,2023-07-07,213
50060820106,2023-07-10,184
50060820106,2023-07-12,171
50060820106,2023-07-14,234
50060820106,2023-07-17,131
50060820106,2023-07-19,106
50060820106,2023-07-21,196
50060820106,2023-07-24,134
50060820106,2023-07-26,131
50060820106,2023-07-28,119
50060820106,2023-07-30,96
50060820106,2023-08-03,156
50060820106,2023-08-07,241
50060820106,2023-08-09,111
50060820106,2023-08-11,250
50060820106,2023-08-14,107
50060820106,2023-08-16,138
50060820106,2023-08-18,246
50060820106,2023-08-21,116
50060820106,2023-08-23,150
50060820106,2023-08-25,187
50060820106,2023-08-28,82
50060820106,2023-08-30,142
50060820106,2023-09-01,156
50060820106,2023-09-03,131
50060820106,2023-09-05,145
50060820106,2023-09-07,177
50060820106,2023-09-11,245
50060820106,2023-09-13,143
50060820106,2023-09-15,143
50060820106,2023-09-17,142
50060820106,2023-09-19,104
50060820106,2023-09-21,116
50060820106,2023-09-23,263
50060820106,2023-09-27,226
50060820106,2023-09-30,50
50060820106,2023-10-02,191
50060820106,2023-10-06,99
50060820106,2023-10-08,139
50060820106,2023-10-09,113
50060820106,2023-10-12,133
50060820106,2023-10-16,272
50060820106,2023-10-17,120
50060820106,2023-10-18,102
50060820106,2023-10-20,100
50060820106,2023-10-22,141
50060820106,2023-10-24,121
50060820106,2023-10-26,130
50060820106,2023-10-30,290
50060820106,2023-10-31,90
D30100558A,2022-01-01,8
D30100558A,2022-01-03,7
D30100558A,2022-01-05,10
D30100558A,2022-01-07,5
D30100558A,2022-01-09,8
D30100558A,2022-01-11,15
D30100558A,2022-01-13,5
D30100558A,2022-01-15,11
D30100558A,2022-01-17,12
D30100558A,2022-01-19,14
D30100558A,2022-01-21,7
D30100558A,2022-01-23,7
D30100558A,2022-01-25,6
D30100558A,2022-01-27,10
D30100558A,2022-01-29,11
D30100558A,2022-02-03,7
D30100558A,2022-02-05,8
D30100558A,2022-02-07,7
D30100558A,2022-02-09,9
D30100558A,2022-02-11,26
D30100558A,2022-02-13,7
D30100558A,2022-02-15,13
D30100558A,2022-02-17,11
D30100558A,2022-02-19,20
D30100558A,2022-02-21,6
D30100558A,2022-02-23,10
D30100558A,2022-02-25,10
D30100558A,2022-02-27,4
D30100558A,2022-03-01,6
D30100558A,2022-03-03,8
D30100558A,2022-03-05,6
D30100558A,2022-03-07,6
D30100558A,2022-03-09,14
D30100558A,2022-03-11,7
D30100558A,2022-03-13,10
D30100558A,2022-03-15,19
D30100558A,2022-03-17,15
D30100558A,2022-03-19,14
D30100558A,2022-03-21,9
D30100558A,2022-03-23,10
D30100558A,2022-03-25,3
D30100558A,2022-03-26,9
D30100558A,2022-03-28,7
D30100558A,2022-03-30,5
D30100558A,2022-04-01,16
D30100558A,2022-04-03,13
D30100558A,2022-04-06,13
D30100558A,2022-04-08,11
D30100558A,2022-04-10,7
D30100558A,2022-04-12,16
D30100558A,2022-04-14,2
D30100558A,2022-04-19,2
D30100558A,2022-04-22,1
D30100558A,2022-04-26,1
D30100558A,2022-04-28,9
D30100558A,2022-05-02,13
D30100558A,2022-05-05,17
D30100558A,2022-05-07,8
D30100558A,2022-05-09,10
D30100558A,2022-05-11,6
D30100558A,2022-05-13,11
D30100558A,2022-05-16,6
D30100558A,2022-05-18,5
D30100558A,2022-05-20,13
D30100558A,2022-05-23,6
D30100558A,2022-05-25,11
D30100558A,2022-05-27,2
D30100558A,2022-05-30,2
D30100558A,2022-06-01,16
D30100558A,2022-06-04,14
D30100558A,2022-06-06,14
D30100558A,2022-06-08,11
D30100558A,2022-06-10,7
D30100558A,2022-06-12,17
D30100558A,2022-06-14,13
D30100558A,2022-06-16,7
D30100558A,2022-06-18,10
D30100558A,2022-06-20,19
D30100558A,2022-06-22,10
D30100558A,2022-06-24,21
D30100558A,2022-06-27,6
D30100558A,2022-06-29,2
D30100558A,2022-07-01,25
D30100558A,2022-07-03,3
D30100558A,2022-07-05,13
D30100558A,2022-07-07,12
D30100558A,2022-07-09,5
D30100558A,2022-07-11,10
D30100558A,2022-07-13,15
D30100558A,2022-07-15,18
D30100558A,2022-07-18,17
D30100558A,2022-07-20,3
D30100558A,2022-07-22,17
D30100558A,2022-07-27,11
D30100558A,2022-07-29,12
D30100558A,2022-08-01,8
D30100558A,2022-08-03,6
D30100558A,2022-08-05,13
D30100558A,2022-08-08,5
D30100558A,2022-08-10,17
D30100558A,2022-08-13,6
D30100558A,2022-08-15,4
D30100558A,2022-08-17,4
D30100558A,2022-08-19,8
D30100558A,2022-08-22,7
D30100558A,2022-08-24,8
D30100558A,2022-08-26,19
D30100558A,2022-08-29,6
D30100558A,2022-08-30,10
D30100558A,2022-09-01,2
D30100558A,2022-09-02,18
D30100558A,2022-09-05,8
D30100558A,2022-09-07,1
D30100558A,2022-09-09,5
D30100558A,2022-09-11,6
D30100558A,2022-09-13,8
D30100558A,2022-09-15,1
D30100558A,2022-09-17,2
D30100558A,2022-09-19,5
D30100558A,2022-09-21,5
D30100558A,2022-09-23,14
D30100558A,2022-09-26,16
D30100558A,2022-09-28,2
D30100558A,2022-09-29,8
D30100558A,2022-10-01,9
D30100558A,2022-10-06,11
D30100558A,2022-10-08,6
D30100558A,2022-10-10,9
D30100558A,2022-10-12,8
D30100558A,2022-10-14,18
D30100558A,2022-10-17,11
D30100558A,2022-10-19,10
D30100558A,2022-10-21,17
D30100558A,2022-10-24,13
D30100558A,2022-10-26,6
D30100558A,2022-10-28,3
D30100558A,2022-10-30,5
D30100558A,2022-11-01,12
D30100558A,2022-11-03,9
D30100558A,2022-11-05,3
D30100558A,2022-11-07,11
D30100558A,2022-11-09,11
D30100558A,2022-11-11,4
D30100558A,2022-11-13,13
D30100558A,2022-11-15,6
D30100558A,2022-11-17,3
D30100558A,2022-11-19,4
D30100558A,2022-11-21,3
D30100558A,2022-11-23,10
D30100558A,2022-11-25,3
D30100558A,2022-11-27,4
D30100558A,2022-12-01,11
D30100558A,2022-12-05,17
D30100558A,2022-12-07,9
D30100558A,2022-12-09,6
D30100558A,2022-12-12,4
D30100558A,2022-12-14,9
D30100558A,2022-12-16,6
D30100558A,2022-12-19,6
D30100558A,2022-12-21,1
D30100558A,2022-12-23,19
D30100558A,2022-12-26,12
D30100558A,2022-12-28,5
D30100558A,2023-01-02,14
D30100558A,2023-01-04,1
D30100558A,2023-01-05,17
D30100558A,2023-01-09,19
D30100558A,2023-01-11,7
D30100558A,2023-01-13,9
D30100558A,2023-01-16,4
D30100558A,2023-01-18,5
D30100558A,2023-01-28,5
D30100558A,2023-01-30,7
D30100558A,2023-02-01,13
D30100558A,2023-02-03,18
D30100558A,2023-02-06,5
D30100558A,2023-02-08,7
D30100558A,2023-02-10,18
D30100558A,2023-02-13,4
D30100558A,2023-02-15,2
D30100558A,2023-02-17,15
D30100558A,2023-02-20,15
D30100558A,2023-02-22,9
D30100558A,2023-02-24,4
D30100558A,2023-03-01,8
D30100558A,2023-03-03,20
D30100558A,2023-03-06,7
D30100558A,2023-03-08,9
D30100558A,2023-03-10,10
D30100558A,2023-03-13,13
D30100558A,2023-03-17,11
D30100558A,2023-03-20,14
D30100558A,2023-03-21,2
D30100558A,2023-03-23,4
D30100558A,2023-03-25,7
D30100558A,2023-03-28,3
D30100558A,2023-03-30,1
D30100558A,2023-04-01,12
D30100558A,2023-04-06,11
D30100558A,2023-04-08,16
D30100558A,2023-04-12,13
D30100558A,2023-04-14,14
D30100558A,2023-04-17,11
D30100558A,2023-04-19,12
D30100558A,2023-04-21,6
D30100558A,2023-04-23,4
D30100558A,2023-04-25,6
D30100558A,2023-04-29,1
D30100558A,2023-05-02,5
D30100558A,2023-05-04,10
D30100558A,2023-05-06,12
D30100558A,2023-05-08,5
D30100558A,2023-05-10,8
D30100558A,2023-05-12,22
D30100558A,2023-05-15,7
D30100558A,2023-05-17,6
